# O2(p)-Ru0(dxy)
# E-Ef / eV	COHP / eV	ICOHP / eV
-8.06008	-0.25973999999999997	-0.04684
-8.01001	-0.27727	-0.06072
-7.95995	-0.28475	-0.07496
-7.90989	-0.28686	-0.08932999999999999
-7.85982	-0.28945	-0.10383
-7.80976	-0.29688000000000003	-0.11868
-7.7597	-0.31013999999999997	-0.13421
-7.70964	-0.32676	-0.15056999999999998
-7.65957	-0.3428	-0.16773
-7.60951	-0.35582	-0.18555
-7.55945	-0.36719999999999997	-0.20393
-7.50939	-0.38192000000000004	-0.22304999999999997
-7.45932	-0.40581	-0.24336999999999998
-7.40926	-0.44192	-0.26549
-7.3592	-0.48807999999999996	-0.28992
-7.30914	-0.53745	-0.31683
-7.25907	-0.5817000000000001	-0.34595
-7.20901	-0.61449	-0.37672
-7.15895	-0.6336999999999999	-0.40844
-7.10889	-0.64132	-0.44054000000000004
-7.05882	-0.6414599999999999	-0.47265
-7.00876	-0.6382300000000001	-0.50461
-6.9587	-0.63405	-0.53635
-6.90864	-0.6296200000000001	-0.5678700000000001
-6.85857	-0.6245400000000001	-0.59914
-6.80851	-0.6170199999999999	-0.63002
-6.75845	-0.60293	-0.66022
-6.70839	-0.57553	-0.68902
-6.65832	-0.52789	-0.71546
-6.60826	-0.45733	-0.73834
-6.5582	-0.3687	-0.75681
-6.50814	-0.27353	-0.7705
-6.45807	-0.18523	-0.7797799999999999
-6.40801	-0.1138	-0.78546
-6.35795	-0.06296	-0.7886200000000001
-6.30788	-0.0308	-0.79016
-6.25782	-0.0124	-0.79078
-6.20776	-0.00248	-0.7908999999999999
-6.1577	0.00312	-0.79074
-6.10763	0.00692	-0.79041
-6.05757	0.01016	-0.7899
-6.00751	0.01308	-0.78925
-5.95745	0.01548	-0.7884599999999999
-5.90738	0.01689	-0.78762
-5.85732	0.01684	-0.78678
-5.80726	0.01452	-0.78606
-5.7572	0.008820000000000001	-0.78562
-5.70713	-0.00148	-0.78569
-5.65707	-0.01728	-0.78654
